avg_wind_speed,sol_rad,max_air_temp,min_air_temp,avg_air_temp,avg_rel_hum,avg_dewpt_temp,precip,pot_evapot,avg_soiltemp_4in_sod,OUTPUT
6,4.18,56.4,34.1,46.8,90.4,43.9,0,0.03,40.8,-7.2
6.9,4.09,66.7,52.1,59.2,94.9,57.7,0,0.03,45.9,-12.1
7.4,1.39,59.4,35.7,45,85.2,40.8,0.34,0.01,46.4,-12.6
10.7,0.74,36.7,29.2,34.9,95.8,33.8,0.72,0,41.9,-8.3
10,3.1,29.4,8.5,21,85.7,17.4,0.01,0.01,38.8,-4.5
11.2,10.14,22.8,5.3,14.4,66.6,5,0,0.04,35.4,0
7.9,8.05,32.4,15,24.8,64.1,13.8,0,0.04,34,1.6
4.4,6.95,41.4,30.7,34.7,66.3,24.1,0,0.04,33.6,1.8
7,3.66,34,23,29.8,82.3,25,0,0.02,33.8,1.8
3.3,7.12,33.8,16.6,26.4,74.7,19,0.01,0.03,33.8,4
9.4,8.68,54.5,28.1,40.5,71.1,31.1,0,0.06,33.6,2.9
6.1,9.62,45.9,34.9,39.6,79.7,33.6,0,0.06,34.3,0.2
3.4,6.2,41,24.3,34.5,80.1,28.6,0,0.03,35.4,-1.6
10.3,5.67,46.3,23.5,34.5,75.1,27.1,0,0.04,35.6,-2
4.7,9.01,33.6,20.2,27.5,69,18.7,0,0.04,35.4,-1.8
7,5.97,40.3,28.5,34,76.8,27.3,0.02,0.03,35.6,-2.5
4.9,1.5,41.6,32.5,37.6,94.7,36.1,0.37,0.01,37.8,-4.7
9.3,5.34,32.5,13,21.9,76.1,15.6,0.02,0.02,36.5,-3.6
5.5,10.35,20.6,9.2,14.5,71.2,6.6,0,0.04,34.5,-1.6
2,6.89,25.4,15.7,20.3,67.9,11.3,0,0.03,33.8,-0.9
8.3,9.52,42.3,22.6,32.2,69.4,23.2,0,0.05,33.6,-0.7
9.9,11.53,38.3,10.8,16.5,48.1,0,0.01,0.04,33.6,-0.9
7.4,6,46.2,12.4,29.7,61.8,18,0,0.03,33.1,-0.6
7.3,10.63,37,19.6,26.1,72.6,18.5,0,0.05,33.1,-0.7
11.8,2.27,25.3,18.3,20.3,71.2,11.7,0,0.01,32.9,-0.5
5.3,2.74,24.3,18.4,21.6,93.4,19.9,0,0.01,32.9,-0.4
11,10.26,22.4,7.4,16.9,83.8,12.7,0,0.04,32.9,-0.4
6.4,11.45,20.6,1.4,10.6,70.1,2.7,0,0.04,32.9,-0.2
5.5,5.03,9.5,2.5,6.8,78.7,1.6,0,0.01,32.7,0
5.9,6.9,3.1,-7.1,-1.7,79.4,-6.5,0,0.02,32.5,0.2
3.2,9.63,13.5,-10,3.2,72.3,-3.8,0,0.03,32.4,0.3
4.4,9.75,32.4,10.4,22.5,61.3,11.1,0,0.04,32.4,0.3
5.7,1.97,35,25,32.5,90,29.8,0.23,0.01,32.5,0.2
10.3,12.89,25.2,13,18.9,78.7,13.3,0.01,0.05,32.5,0.2
5,9.9,27.1,8.3,18.1,69.2,9.7,0,0.04,32.7,0
5.9,2.48,32.2,25.3,29.3,93.9,27.7,0.03,0.01,32.7,0
6.3,3.52,31.8,23.3,27,91,24.6,0.02,0.02,32.7,0
9.5,8.93,23.5,15.2,18.1,84.4,14.2,0.01,0.03,32.7,0
7.9,10.7,30.7,17.4,23,82.2,18.3,0,0.05,32.7,0
8.5,12.67,37.6,27.4,32.2,70.7,23.7,0,0.06,32.7,0
7,13.3,32.3,20.4,27.5,73.8,19.9,0,0.07,32.7,0
4.6,13.23,43.6,19.1,32,74.6,24.6,0,0.07,32.7,0
7.8,5.84,26.8,17.9,21.7,76.8,15.6,0,0.02,32.7,0.7
7.3,14.95,32.7,15,25,69.7,16.2,0,0.07,32.7,4.5
5.5,14.16,41.7,24.4,32,66.6,21.9,0,0.08,32.7,4.5
8.7,15.22,29.6,19.1,24.8,73.8,17.4,0,0.07,32.7,4.2
3.6,12.87,33.4,15.9,24.1,67.7,14.5,0,0.06,32.7,6.7
2.8,13.53,41.5,21.2,30.4,79.4,24.3,0,0.07,32.7,6.5
4.8,14.71,49.9,18.2,35.1,80.4,29.1,0,0.09,32.7,6.3
6.3,12.07,55,36,45.5,75,37.9,0,0.08,33.4,6
11.5,1.22,48.8,35.1,41.9,78.3,35.6,0,0.01,37.2,2.9
6.9,4.69,42.8,28.8,35.4,79.3,29.5,0,0.03,37.2,4
4,9.31,46.4,26.5,37.6,81.8,32.2,0,0.05,36.9,6.8
5.8,5.82,53,38.7,42.6,74.9,35.1,0,0.04,39.4,7.4
8.2,3.04,39.3,32.4,37,81.4,31.8,0,0.02,39.2,7.6
8.8,16.29,45.4,30.7,36.3,70.5,27.3,0,0.09,39,6.7
6.7,16.68,47.3,27.6,36.3,74.2,28.4,0,0.1,39.4,7.2
3.6,16.89,50.8,27.5,38.5,71.8,29.1,0,0.1,40.1,10.1
4.1,15.42,56.7,31.4,45.3,59.6,31.5,0,0.1,41.2,7.4
6.1,13.66,60.5,41.3,50.7,64.1,38.7,0,0.1,43.7,3.4
11.7,15.02,67.9,49.8,55.9,65.4,43,0,0.12,46.8,-1.8
7.5,9.49,53.5,39.8,47.5,70.2,37.9,0,0.07,46.8,-2.4
3.2,5.9,50.7,39.2,44.6,87.1,41,0,0.04,45.7,-2
5.9,0.96,62.9,46.4,50.4,98,49.8,0.8,0.01,46.6,-2
13.3,16.64,63.6,42.9,55.4,72.8,46.6,0.15,0.13,50.2,-8.3
6.6,13.13,51.6,40.4,44.8,70.6,35.2,0,0.08,48.6,-6.9
13.5,16.92,52.3,34.7,45.1,54.6,29.3,0,0.11,47.1,-2.3
5.3,13.77,48.6,28.4,38.3,65,26.2,0,0.08,45,-2.4
7.2,15.94,45.5,33.4,38.3,67.4,27.3,0,0.09,44.4,-2.7
7.4,18.64,50,30.6,41,64.1,29.3,0,0.11,43.7,-1.3
12.6,18.98,49.5,24.8,39.2,54.7,23.5,0,0.12,44.6,-0.7
5.5,19.81,41.7,20.5,29.8,56.1,14.7,0,0.1,41.9,2.7
6,15.82,50.1,29.1,40.6,55.1,25.3,0,0.1,41.7,6
9.5,20.04,53.5,35.5,44.6,61.7,30.6,0,0.14,44.8,-0.2
6.2,6.88,44.7,31.2,37.8,73.6,29.8,0,0.04,42.6,1.3
6.1,3.74,36.2,32.5,34.5,91.9,32.4,0,0.02,41.7,3.6
5.5,8.37,46.8,33.1,39.7,86.5,35.8,0.05,0.05,42.4,4.4
6.8,13.99,56.5,34.9,44.1,75.4,35.8,0,0.1,43.9,6.1
5.7,20.61,58.9,29.1,45.9,64.8,33.4,0,0.14,44.6,8.6
11.5,13.56,68.6,35.4,54.9,51.8,35.8,0,0.11,47.7,7.2
9.3,19.63,41,28.6,34.3,50.4,17.2,0,0.11,44.6,11.2
4.4,21.86,44.6,24.1,35.6,50.1,17.8,0,0.12,43.9,10.6
7.2,12.5,57.7,34.7,45.1,64.2,32.9,0,0.09,45.3,7.9
8.1,6.82,69.9,43.9,55.9,63.2,43.2,0,0.06,46.8,3.2
7,3.04,62.5,53.5,58.1,86.9,54,0.46,0.02,50,0.2
5.5,4.46,65.9,55.8,61.3,92.9,59.2,0.85,0.04,53.2,-3.2
5.2,12.8,70.2,54.1,62.4,85.3,57.7,0,0.1,54.9,-4.9
7.4,6.72,69.3,46.5,58.6,80.7,52.3,0.72,0.06,55.8,-6
4.2,20.47,64.3,40.3,51.8,73.4,42.1,0.04,0.15,54.5,-3.8
8.4,10.64,49.5,36.4,44.4,73.8,36.3,0,0.07,53.2,-0.7
7,9.27,50.4,36.2,43.5,82.7,38.3,0,0.06,50,5.4
5.6,21.66,53.4,37,45.7,63.9,33.3,0,0.14,50.2,5.4
6.3,23.87,59.1,35.2,48,50,28.2,0,0.17,50,4.7
9.1,23.55,64.2,37.1,50.5,41.1,26.8,0,0.18,50,4.1
5.5,23.77,53.5,33.3,43.5,46.8,23.7,0,0.15,49.8,2.5
4.2,23.28,60.2,34.9,48.2,56.9,32.5,0,0.16,50.7,-0.2
7.5,17.07,74.5,44.9,59.4,52.1,40.6,0,0.15,52.5,-3.8
3,16.89,76.7,49.8,63,61.6,48.7,0,0.14,55.4,-4
8.2,24.34,64,45.5,54.7,57.7,39.4,0,0.18,55.6,-1.5
3.5,18.14,62.8,41,53.6,57.8,37.8,0,0.13,54.7,2.7
4.9,5.5,55.4,45.8,51.6,51.3,33.8,0,0.04,54.1,7.2
8.2,24.91,54.4,35.8,45.3,50.8,27,0,0.16,52.3,10.1
11.9,11.52,49.5,36.7,42.1,54.7,26.4,0,0.08,50.5,12.3
10.3,23.24,54.4,32.2,43.5,45.7,22.6,0,0.15,48.7,12.3
3.8,24.52,70.2,35,54.3,39.4,28,0,0.19,51.4,10.1
7.9,22.25,70.6,48.1,61,43.3,37.9,0,0.18,54.1,3.8
7.1,22.76,82.2,56,69.6,52.6,50.7,0,0.2,57.4,0.2
6.8,23.37,85,60.4,73.2,64,59.4,0.01,0.21,61.3,-3.9
11,22.09,84.2,61.7,73.4,48.5,50.4,0,0.21,62.4,-5
9.6,20.57,78.5,58,70.9,49.2,50.4,0,0.19,62.8,-6
6.7,7.9,76.1,53.3,64.2,69.6,53.4,0.26,0.07,61,-4
8.2,20.95,69.2,51.9,61,72,51.4,0.03,0.17,61.5,-3.8
7.1,4.33,52.8,47.3,50.7,85.4,46.4,0.44,0.03,57.9,1.3
5,19.92,65.6,42.4,53.6,79.9,47.1,0.02,0.14,57.6,3.6
6,3.57,59.9,52.3,56.1,83.7,51.1,0.64,0.03,57.4,0.9
8.6,9.66,61.1,46.6,56.1,80.7,50,0,0.07,57.4,-1.5
6.3,25.63,65.7,45.7,55.8,54.8,37.2,0,0.2,56.8,-0.5
5.2,26.74,60.1,41.3,50.7,48.3,30.9,0,0.19,57,-0.2
10.5,19.21,81.2,48.3,64.2,50.7,44.8,0.02,0.17,57.7,2.2
6,9.59,73.1,59.3,63.5,70.5,53.2,0,0.08,59.2,5
4.9,13.49,75.3,52.3,64.4,82.1,58.3,0,0.11,61.2,5.4
7.1,3.65,52.4,45.4,48.9,88.4,45.7,0.31,0.02,58.3,9.3
3,13.4,55.5,40,46.4,85.8,42.1,0.15,0.09,55.9,12.8
3.8,22.9,57.1,40.8,49.1,63.9,36.7,0.05,0.16,56.3,12.4
